filename,caption,tags
merged_0000.jpg,two tigers walking on rocks in a zoo,two;tigers;rocks;walking;zoo
merged_0001.jpg,a watercolor painting of a witch holding a magic wand,witch;watercolor;painting;holding;magic;wand
merged_0002.jpg,a poster with the earth and postcards on it,poster;postcards;earth
merged_0003.jpg,red fox pup by red fox,fox;pup;red
merged_0004.jpg,"greetings from kentucky, postcard",greetings;kentucky;postcard
merged_0005.jpg,a card with orange and yellow roses,orange;yellow;roses;card
merged_0006.jpg,a christmas card with a clock and a christmas tree,card;tree;christmas;clock
merged_0007.jpg,a skeleton is in the middle of a large group of fish,fish;skeleton;large;group;middle
merged_0008.jpg,a red door with a sign that says wheat,sign;says;wheat;red;door
merged_0009.jpg,a dinosaur with its mouth open and its mouth open,dinosaur;open;mouth
merged_0010.jpg,the lifehouse maine sign,sign;maine;lifehouse
merged_0011.jpg,a painting of boats in the water at sunset,sunset;boats;painting;water
merged_0012.jpg,a poster for the japanese art exhibition,exhibition;poster;art;japanese
merged_0013.jpg,a green christmas card with gingers and gingers,gingers;green;christmas;card
merged_0014.jpg,a poster with a rainbow colored rainbow,poster;colored;rainbow
merged_0015.jpg,bless your heart,bless;heart
merged_0016.jpg,an aerial view of the parking lot at the beach,beach;lot;aerial;view;parking
merged_0017.jpg,"munich, germany - munich, germany",germany;munich
merged_0018.jpg,wildlife map of the world,wildlife;map;world
merged_0019.jpg,a group of people in a christmas card,group;people;christmas;card
merged_0020.jpg,a rocky beach with a large rock in the middle,rocky;beach;rock;large;middle
merged_0021.jpg,strawberry fairy watercolor painting,fairy;watercolor;painting;strawberry
merged_0022.jpg,a postcard with a picture of a brick building,brick;building;picture;postcard
merged_0023.jpg,a col col with a col col of the state of wisconsin,state;col;wisconsin
merged_0024.jpg,a cat and a cat in a pumpkin costume,cat;costume;pumpkin
merged_0025.jpg,"a girl in a hat and a red bag stands on the shore of a canal in amsterdam, the",stands;bag;girl;amsterdam;canal;shore;red;hat
merged_0026.jpg,"a heart with the words just remember, we are all family love and other",love;family;remember;heart;words
merged_0027.jpg,"the cover art for the album, ` ' s",album;art;cover
merged_0028.jpg,a postcard with a fence and a picture of a dog,dog;fence;picture;postcard
merged_0029.jpg,arizona and the state of arizona,state;arizona
merged_0030.jpg,a painting of a woman in a forest with crows flying around her,flying;around;forest;painting;crows;woman
merged_0031.jpg,"greetings from new york, new york, new york, new york, new york, new york",greetings;york;new
merged_0032.jpg,a woman walking down a long hallway in a museum,hallway;woman;museum;walking;long
merged_0033.jpg,a little fox with a quote that says it ' s not wonderful,quote;fox;says;wonderful;little
merged_0034.jpg,museum of the natural history of the united states,museum;states;history;united;natural
merged_0035.jpg,a painting of a woman and a man in a park,woman;park;painting;man
merged_0036.jpg,happy birthday from indonesia,indonesia;happy;birthday
merged_0037.jpg,a map of the state of michigan,map;state;michigan
merged_0038.jpg,a dany dany dany dany dany dany dany dany dany dan,dan;dany
merged_0039.jpg,a poster with the words word postcard,poster;word;postcard;words
merged_0040.jpg,a stamp with a painting of a man and woman,man;woman;painting;stamp
merged_0041.jpg,a painting of a bird and flowers,flowers;painting;bird
merged_0042.jpg,a poster advertising a mexican restaurant,advertising;poster;mexican;restaurant
merged_0043.jpg,a cartoon character with a pumpkin and a cat,cat;cartoon;pumpkin;character
merged_0044.jpg,a golden buddha statue in a temple,temple;buddha;golden;statue
merged_0045.jpg,a chair on a dock in front of a lake,chair;dock;front;lake
merged_0046.jpg,pantonee sae sae sae sae sae sae sae sae sa,pantonee;sa;sae
merged_0047.jpg,a postcard of a flower garden in front of a building,flower;front;postcard;garden;building
merged_0048.jpg,the world ' s most magical celebration walt mickey mouse,walt;magical;celebration;world;mouse;mickey
merged_0049.jpg,a poster with the words girls just wannat human rights,poster;girls;rights;wannat;human;words
merged_0050.jpg,a drawing of a skeleton holding a gun,drawing;skeleton;holding;gun
merged_0051.jpg,a drawing of a man with a heart in his hands,drawing;hands;heart;man
merged_0052.jpg,coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote coyote,coyote
merged_0053.jpg,"a postcard with a beach scene in varkala, india",beach;postcard;india;varkala;scene
merged_0054.jpg,a statue of person in the forbidden,forbidden;person;statue
merged_0055.jpg,a birthday card with balloons and cons,balloons;birthday;card;cons
merged_0056.jpg,a green book with a bird on it,book;green;bird
merged_0057.jpg,a group of children playing in the grass,group;grass;children;playing
merged_0058.jpg,a white house with red roof,white;roof;house;red
merged_0059.jpg,a man with tattoos on his chest and chest,man;chest;tattoos
